text,label
Researchers at Oxford make progress in medical research,1
ALERT: Massive earthquake heading straight for Sydney!,0
Local council approves new bridge project for Tokyo,1
ALERT: Massive earthquake heading straight for Los Angeles!,0
You won't believe what Oprah Winfrey said about social media!,0
Study published in PNAS examines effects of climate change,1
Weather forecast: Clear skies expected this weekend in California,1
You won't believe what Jennifer Lawrence said about social media!,0
SHOCKING: United Nations secretly planning to monitor citizens!,0
European Union announces new policy on environment,1
United Kingdom to ban exercise starting next month,0
You won't believe what Elon Musk said about social media!,0
Study published in PNAS examines effects of social media,1
Miracle cure: sugar can make you lose weight in just 10 days!,0
Yankees wins against Red Sox in close match,1
Local council approves new library project for Los Angeles,1
Community fundraiser raises $10000 for education fund,1
Brad Pitt caught doing illegal activities on camera,0
New mobile feature released by Apple,1
"Microsoft reports quarterly earnings, stock unchanged by 8%",1
New cloud feature released by Apple,1
Weather forecast: Clear skies expected this weekend in the Northeast,1
Community fundraiser raises $10000 for local hospital,1
Community fundraiser raises $10000 for education fund,1
Miracle cure: red meat can make you improve memory in just 7 days!,0
New security feature released by Microsoft,1
Local council approves new library project for Los Angeles,1
ALERT: Massive earthquake heading straight for London!,0
New study proves red meat causes heart disease - doctors shocked!,0
New AI feature released by Meta,1
Community fundraiser raises $50000 for education fund,1
Researchers at MIT make progress in computer science research,1
New mobile feature released by Meta,1
Russia to ban sleep starting next month,0
Oprah Winfrey DEAD at 89 - family confirms tragic news,0
Mayor speaks at conference about education,1
Community fundraiser raises $10000 for children's charity,1
Government hiding truth about aliens,0
SHOCKING: Federal Reserve secretly planning to control the internet!,0
Miracle cure: red meat can make you boost energy in just 30 days!,0
Weather forecast: Thunderstorms expected this weekend in the Northeast,1
You won't believe what Brad Pitt said about education!,0
Governor speaks at conference about healthcare,1
Brad Pitt caught doing unethical behavior on camera,0
SHOCKING: US Government secretly planning to raise taxes!,0
New study proves processed food causes cancer - doctors shocked!,0
New study proves salt causes cancer - doctors shocked!,0
Miracle cure: red meat can make you boost energy in just 10 days!,0
European Union announces new policy on environment,1
SHOCKING: Federal Reserve secretly planning to monitor citizens!,0
SHOCKING: European Union secretly planning to raise taxes!,0
SHOCKING: Federal Reserve secretly planning to raise taxes!,0
You won't believe what Oprah Winfrey said about education!,0
"Meta reports quarterly earnings, stock down by 2%",1
Elon Musk caught doing illegal activities on camera,0
New study proves dairy products causes cancer - doctors shocked!,0
Government hiding truth about aliens,0
BREAKING: Scientists discover chocolate can cure diabetes!,0
