text,label
"Google reports quarterly earnings, stock down by 12%",1
Patriots wins against Eagles in close match,1
Community fundraiser raises $100000 for animal shelter,1
Governor speaks at conference about healthcare,1
BREAKING: Scientists discover chocolate can cure arthritis!,0
New privacy feature released by Google,1
Community fundraiser raises $250000 for animal shelter,1
Cowboys wins against Red Sox in close match,1
Lakers wins against Rockets in close match,1
United States to ban exercise starting next month,0
Local council approves new bridge project for New York,1
ALERT: Massive earthquake heading straight for London!,0
Community fundraiser raises $25000 for education fund,1
European Union announces new policy on transportation,1
"Google reports quarterly earnings, stock unchanged by 8%",1
Federal Reserve announces new policy on environment,1
Tom Hanks caught doing illegal activities on camera,0
Warriors wins against Red Sox in close match,1
Study published in Cell examines effects of healthcare,1
SHOCKING: US Government secretly planning to ban protests!,0
United Nations announces new policy on healthcare,1
ALERT: Tsunami wave heading straight for New York!,0
Russia to ban sleep starting next month,0
Mayor speaks at conference about social media,1
Brad Pitt caught doing unethical behavior on camera,0
SHOCKING: Federal Reserve secretly planning to control the internet!,0
Elon Musk DEAD at 85 - family confirms tragic news,0
Local council approves new bridge project for Tokyo,1
Weather forecast: Thunderstorms expected this weekend in the South,1
Community fundraiser raises $100000 for children's charity,1
Government hiding truth about aliens,0
New study proves processed food causes depression - doctors shocked!,0
Local council approves new transit system project for Sydney,1
Russia to ban water starting next month,0
SHOCKING: United Nations secretly planning to control the internet!,0
Brad Pitt caught doing illegal activities on camera,0
Local council approves new school project for New York,1
Senator speaks at conference about education,1
New cloud feature released by Amazon,1
Miracle cure: processed food can make you lose weight in just 30 days!,0
You won't believe what Oprah Winfrey said about climate change!,0
BREAKING: Scientists discover music can cure cancer!,0
Tom Hanks caught doing illegal activities on camera,0
Researchers at Oxford make progress in medical research,1
New study proves dairy products causes arthritis - doctors shocked!,0
Government hiding truth about moon landing,0
Researchers at Harvard make progress in computer science research,1
"Tesla reports quarterly earnings, stock down by 8%",1
Oprah Winfrey DEAD at 39 - family confirms tragic news,0
Weather forecast: Fog expected this weekend in the South,1
New security feature released by Tesla,1
Federal Reserve announces new policy on environment,1
Government hiding truth about moon landing,0
Study published in PNAS examines effects of education,1
SHOCKING: European Union secretly planning to raise taxes!,0
Elon Musk caught doing unethical behavior on camera,0
Study published in Nature examines effects of healthcare,1
United States to ban sunlight starting next month,0
Government hiding truth about moon landing,0
Study published in The Lancet examines effects of artificial intelligence,1
Taylor Swift caught doing unethical behavior on camera,0
You won't believe what Elon Musk said about social media!,0
"Apple reports quarterly earnings, stock up by 8%",1
Government hiding truth about 5G towers,0
Local council approves new library project for Tokyo,1
Mayor speaks at conference about artificial intelligence,1
European Union announces new policy on housing,1
Community fundraiser raises $25000 for animal shelter,1
Oprah Winfrey DEAD at 58 - family confirms tragic news,0
"Apple reports quarterly earnings, stock up by 12%",1
You won't believe what Tom Hanks said about social media!,0
Miracle cure: red meat can make you improve memory in just 7 days!,0
Researchers at Oxford make progress in physics research,1
Researchers at Oxford make progress in environmental research,1
You won't believe what Oprah Winfrey said about education!,0
SHOCKING: Federal Reserve secretly planning to ban protests!,0
United Nations announces new policy on environment,1
Tom Hanks DEAD at 65 - family confirms tragic news,0
Community fundraiser raises $10000 for children's charity,1
Miracle cure: red meat can make you look younger in just 30 days!,0
Community fundraiser raises $50000 for education fund,1
Jennifer Lawrence DEAD at 43 - family confirms tragic news,0
New study proves processed food causes arthritis - doctors shocked!,0
ALERT: Tsunami wave heading straight for London!,0
Russia to ban water starting next month,0
Researchers at Oxford make progress in medical research,1
Weather forecast: Snow expected this weekend in California,1
Weather forecast: Snow expected this weekend in the Pacific Northwest,1
"Meta reports quarterly earnings, stock down by 5%",1
You won't believe what Brad Pitt said about healthcare!,0
ALERT: Hurricane Category 5 heading straight for New York!,0
SHOCKING: United Nations secretly planning to monitor citizens!,0
Governor speaks at conference about education,1
BREAKING: Scientists discover exercise can cure depression!,0
Cowboys wins against Giants in close match,1
ALERT: Tsunami wave heading straight for Sydney!,0
"Tesla reports quarterly earnings, stock down by 12%",1
ALERT: Massive earthquake heading straight for Tokyo!,0
You won't believe what Taylor Swift said about artificial intelligence!,0
Mayor speaks at conference about education,1
Weather forecast: Fog expected this weekend in California,1
New study proves processed food causes diabetes - doctors shocked!,0
European Union announces new policy on transportation,1
Elon Musk DEAD at 39 - family confirms tragic news,0
Yankees wins against Giants in close match,1
Local council approves new school project for London,1
Study published in The Lancet examines effects of climate change,1
Community fundraiser raises $250000 for local hospital,1
ALERT: Massive earthquake heading straight for Sydney!,0
President speaks at conference about artificial intelligence,1
Governor speaks at conference about climate change,1
Weather forecast: Snow expected this weekend in California,1
Federal Reserve announces new policy on housing,1
𝖣𝖾𝖺𝗋 𝖢𝗎𝗌𝗍𝗈𝗆𝖾𝗋 Survival Benefit 𝗎𝗇𝖽𝖾𝗋 𝗉𝗈𝗅𝗂𝖼𝗒 𝗇𝗈.- 745966378 𝗉𝖺𝗂𝖽 𝖻𝗒 𝖫𝖨𝖢 𝖱𝗌. 20000 𝗍𝗈 𝖡𝖺𝗇𝗄 𝖠/𝖢 𝗇𝗈. XXXXXXX2154.,1
Weather forecast: Fog expected this weekend in the South,1
New study proves dairy products causes anxiety - doctors shocked!,0
You won't believe what Oprah Winfrey said about climate change!,0
Government hiding truth about moon landing,0
Senator speaks at conference about healthcare,1
Federal Reserve announces new policy on transportation,1
Miracle cure: red meat can make you look younger in just 14 days!,0
US Government announces new policy on education,1
New study proves salt causes arthritis - doctors shocked!,0
Lakers wins against Red Sox in close match,1
France to ban sunlight starting next month,0
New study proves dairy products causes heart disease - doctors shocked!,0
New cloud feature released by Microsoft,1
United Nations announces new policy on healthcare,1
Russia to ban chocolate starting next month,0
New privacy feature released by Amazon,1
New security feature released by Apple,1
New cloud feature released by Meta,1
New privacy feature released by Google,1
Government hiding truth about moon landing,0
European Union announces new policy on healthcare,1
Researchers at Cambridge make progress in environmental research,1
ALERT: Volcanic eruption heading straight for Los Angeles!,0
Government hiding truth about 5G towers,0
Taylor Swift caught doing controversial statements on camera,0
Elon Musk DEAD at 32 - family confirms tragic news,0
Tom Hanks DEAD at 60 - family confirms tragic news,0
You won't believe what Oprah Winfrey said about climate change!,0
BREAKING: Scientists discover exercise can cure anxiety!,0
US Government announces new policy on education,1
China to ban chocolate starting next month,0
Local council approves new transit system project for Los Angeles,1
Community fundraiser raises $25000 for local hospital,1
New mobile feature released by Microsoft,1
Jennifer Lawrence caught doing unethical behavior on camera,0
Governor speaks at conference about healthcare,1
Tom Hanks DEAD at 51 - family confirms tragic news,0
CEO speaks at conference about artificial intelligence,1
Jennifer Lawrence DEAD at 32 - family confirms tragic news,0
United Nations announces new policy on environment,1
You won't believe what Taylor Swift said about education!,0
Weather forecast: Clear skies expected this weekend in California,1
France to ban coffee starting next month,0
ALERT: Tsunami wave heading straight for London!,0
CEO speaks at conference about healthcare,1
China to ban meditation starting next month,0
Yankees wins against Rockets in close match,1
Local council approves new library project for Tokyo,1
New security feature released by Apple,1
Study published in Science examines effects of education,1
"Apple reports quarterly earnings, stock unchanged by 15%",1
Local council approves new library project for Tokyo,1
Community fundraiser raises $25000 for children's charity,1
BREAKING: Scientists discover music can cure arthritis!,0
Weather forecast: Fog expected this weekend in the South,1
New study proves red meat causes cancer - doctors shocked!,0
Taylor Swift DEAD at 85 - family confirms tragic news,0
BREAKING: Scientists discover water can cure cancer!,0
You won't believe what Tom Hanks said about education!,0
United Kingdom to ban chocolate starting next month,0
Community fundraiser raises $25000 for education fund,1
Taylor Swift DEAD at 38 - family confirms tragic news,0
SHOCKING: Federal Reserve secretly planning to ban protests!,0
BREAKING: Scientists discover sleep can cure cancer!,0
Government hiding truth about moon landing,0
Community fundraiser raises $25000 for animal shelter,1
"Meta reports quarterly earnings, stock unchanged by 8%",1
New study proves salt causes arthritis - doctors shocked!,0
Weather forecast: Snow expected this weekend in the Midwest,1
Elon Musk caught doing unethical behavior on camera,0
President speaks at conference about healthcare,1
Local council approves new transit system project for London,1
Elon Musk DEAD at 55 - family confirms tragic news,0
Taylor Swift DEAD at 74 - family confirms tragic news,0
ALERT: Volcanic eruption heading straight for Tokyo!,0
Community fundraiser raises $25000 for animal shelter,1
Local council approves new library project for Los Angeles,1
Study published in Science examines effects of climate change,1
Local council approves new library project for Sydney,1
Study published in PNAS examines effects of social media,1
You won't believe what Jennifer Lawrence said about social media!,0
